name,rating,date_post,title,review
M. A.,5,24 May 2022,Nice speaker,"I brought this to replace an older Bluetooth speaker.  Easy to set up, looks good and easy to use."
Mr H M Bowdery,5,24 May 2022,Very impressed,"Very impressive sound, great volume"
Margaret Leahy,5,23 May 2022,Small and compact,"Excellent sound for such a small device, so easy to connect to and use. Delighted with my purchase"
P E Cunningham,5,16 May 2022,Does what it says on the tin,"Not the loudest of sound bars, but, solidly built and ideal for us, for use when out in the garden"
William White,5,14 May 2022,Good output for its size.,Good size.  Good battery life.
Ellie Braiden,5,12 May 2022,Great for those trips away where space is limited,"Great little speaker for the price. The battery lasted a whole weeks holiday, playing it everyday. I would say the sound is comparable to my sonos speaker. Added bonus that it’s waterproof if your by pool. Would recommend"
PD,5,10 May 2022,Good stuff,Nice sound. Good for cars or a small room to listen to songs. Quite loud for the size.
Mr M.,5,9 May 2022,Excellent sound from such a small speaker platform. Highly recommend it.,"Superb sound for its size and good battery life. Only complaint albeit a small one, the controls on the top could do with being more prominent. Doesn't detract from its quality though. Would i buy it again? In an instant."
Karen,5,9 May 2022,Good sound for a small speaker.,"This is a good Bluetooth speaker, a nice bass sound for a small device.  I would recommend it."
GM,5,8 May 2022,Holiday sounds sorted,"Awesome sound quality, great size, good value"
AP,5,8 May 2022,Great little gadget,Does the job really well.
Consumer,5,7 May 2022,Brilliant replacement,This is an ideal size and replacement for my previous portable speaker. Would recommend
Michael Organ,4,5 May 2022,Would have been 5 star but,"Great little speaker deserved a 5 star but for a few niggles. The Bluetooth goes to sleep, yes it needs waking up which is strange. Maybe it's me but it happened on 2 phones 2 echo dots and a Samsung smart TV, all current gen equipment. If you want it to connect to an echo dot for wake up alarm think again. However range is fantastic better than all my other devices.It's a dust magnet. I use powder for skin problems so when I take it to the bathroom it literally comes out covered, seems to attract every particle. Easy to clean though. It's because the finish is soft brushed rubber. If you don't mind that the handling is nice.The jack's have a cover that obstructs plugging in cables, not a huge problem but everything is black which for someone like me with poor eyesight can be an issue.Having said all that, unless one or more of those niggles is a deal breaker you will find better at the price. It's better than many my friends bought for twice or three times the price."
Ellis,1,2 May 2022,Product doesn’t connect to phone. Instructions give zero guide on how to fix this.,Straight up doesn’t connect to phones and the instructions given offer no support or help fixing this glaring issue.
Johnjo hayes,5,28 April 2022,Excellent 👍,Excellent 👍
Mr. T. Brown,4,28 April 2022,Very good sound,The battery life is good and the sound is good. It very practical small and compact.
Andrew,4,28 April 2022,Good value for money,Good sound quality and level for in/outdoors
kevin loft,5,27 April 2022,Very good value for the money,Very good value for money easy to use
Dean Cowdall,1,25 April 2022,POOR QUALITY SOUND,Not happy with the quality of sound lowest speaker I have ever bought do not recommend
CHRISTOPHER,5,25 April 2022,Surprisingly great,What a speaker! Great purchase
craig,3,24 April 2022,It's small with clear sound,"The media could not be loaded.                      Small , light to carry , thought it would be louder , as I want it for use by a hot tub, I'd say alexa is louder at full volume  this is about a 7 of alexa on full,  but the sound quality is good , connected to phone really easy  ideal for the garden , camping etc"
Faye,4,21 April 2022,Great sound for small speaker,"Great speaker for what I paid on sale, downside is you have to keep your phone near as the Bluetooth connection isn't great.. can't complain for the price though!"
Alex,5,20 April 2022,Good stuff,Good stuff
Zac daily,5,19 April 2022,Speaker,The media could not be loaded.
J Pettitt,5,18 April 2022,Good value for money,"Just the right size, easy to move from one room to another or yes in the garden. Waterproof so can use in bathroom. Sound quality is good. I'm enjoying this product."
DD,5,17 April 2022,Ace,Good quality sound
Amazon Customer,5,14 April 2022,Great for how cheap and how small it is!,"For the product being so small and fairly cheap, I wasn't expecting it to be so clear and have good bass.The battery life is actually pretty good lasting around 12-16 hours at the highest volume with the bass + setting active.I have no real problems with the product itself except the charging... there is no indication when it's fully charged, however. It takes around 3 hours from 0- 100% you'll just need to remember that it's on charge.Very worth the money and better than expected."
R,5,11 April 2022,Best speaker I’ve brought,Great sound quality best one I’ve brought
Yessenia,5,10 April 2022,I like it.,Sound quality very good. It’s small which I love it and aspect it.
George separovic,5,4 April 2022,You get what you pay for,"You get what you pay for, a decent mid range speaker the does everything it needs."
A Buyer,5,3 April 2022,Well made speaker.  Good value,Clear sound. Connects readily.Has the feel of something that will last a long while.
Drip fed fred,5,3 April 2022,Bluetooth speaker,"Fantastic speaker. Great sound from a portable speaker. Bass mode is great. You dont need a midi hifi for the shed-garage.  Pair this to your phone, and off you go.Also takes an sd card, and has aux lead for ipod classic etc.An absoloute bargain."
Tomahawk,1,2 April 2022,Broke after 2nd use,"Been wanting a half decent Bluetooth speaker for when I'm working in the garage and this seemed ideal.Good battery life, the sound is pretty decent for its size and it paired with no issues whatsoever.Now onto the bad.After it's 2nd use the power button stopped working unless it was plugged in to charge which kind of defeats the purpose of a wireless speaker. The battery reads 100% but the moment you unplug the lead it just shuts off instantly.I looked through the manual and there is nothing on this, which is a shame because for the price, it was pretty decent to begin with.Now it's just a paperweight."
Ms T,1,1 April 2022,Awful,Avoid this product.  Stopped working and there is no after sales support.
Dazza,5,31 March 2022,Daughter very happy.,For the price I paid I think this is a great speaker.Wirh the added extra base setting certainly produces a great sound for the price.
Sojad,3,31 March 2022,Broke after two months…,"Without me dropping it or anything, the quality durastically declined within two months (the Base has become louder than the actual vocals of the music). The worst £30 ive spent on amazon and ive been buying for over 5 years. Too late to refund now aswell but very poor quality and I miss my old speaker so much now"
Suraj,1,29 March 2022,Poor sound quality,The diaphram was vibrating when bass song song was played and the vocals go down
ben g.,5,26 March 2022,Mega!,Proper quality piece of kit great sound quality and excellent value. Very happy with the purchase.
Charleen,5,25 March 2022,Brilliant for outdoor fun.,Brilliant value for money. Would highly recommend
Sina Madani,5,25 March 2022,Incredible quality for the price,"I was pleasantly surprised by this inexpensive speaker. Its appearance is inoffensive and functional, it doesn't look cheap, abd nor does it sound cheap either. It gets loud enough over Bluetooth, has some sound separation (given it's a single speaker), feels powerful and has decent frequency range. It also has good connectivity options. This is far superior to the Zamkol ZK606 in its build and sound quality. It's also better than the JBL Go 3, but that's to be expected, given this is 12W and larger. My only criticism is that Bass boost mode doesn't really improve the bass substantially, it just makes it sound more muffled. However as standard the speaker has good tuning and bass so overall I think this is a fantastic speaker for the price."
Karen A.,5,23 March 2022,Great speakèr,Very easy to use
Robert McDonald,1,20 March 2022,I am sound person and level his not expectations,The advert of this product don't match it. Make out the sound and was good ..I have not best yet ... Truly I wish I bought Bose instead
Dave Davies,4,18 March 2022,"Nothing special, but you can't complain at that price.","The sound quality isn't amazing and the Bluetooth connectivity is sometimes a bit flaky but at that price point you get what you pay for. I've used it to upgrade laptop audio and for that purpose it works perfectly well. OK, it's not quite as loud as Bose Soundlink, but it's a tenth of the price."
Greg LV,5,13 March 2022,Good value for what it is.,Good value. Sound and appearance. Would recommend
Mrs. C. Lam,2,13 March 2022,Sound quality is bad,Music
Paola L,5,5 March 2022,Great quality,It’s great . I thought just may be it was going to be louder
Jane Born,2,3 March 2022,No support after sales,"Love my speaker , but after 2 months the charge cable has failed . The support tech e mail doesn’t work , and the LENRUE  email doesn’t respond to any questions . Just wanted to get a new cable ."
Sonia Lindsay,5,3 March 2022,Brilliant!,Brilliant! I would definitely buy another one of these products. Does everything it needs to and the sound is great.
Steven McClymont,5,28 February 2022,Wow,Get this speaker its amazing sound is amazing dnt listen to any negative this thing is the business
Veliko Dimitrov,5,26 February 2022,Impressed!,The speaker sounds good it goes perfect with dubstep music!
Tracey,5,26 February 2022,"A little box , lots of noise!","I am extremely pleased with my little speaker, with such a crisp clear and loud sound, and the bass button is always put on .The battery life is ok, just remember to put on charge before putting away, yo ensure fully charged and ready for next use.The quality is realy good, nice weight,Easy to pick up and carry round anywhere, its very very portable.Simple and easy to set up and use, easily charged, all on all a 5 ☆ product that i highly recommend anyone to buy, to use in home or out and about."
S. G. Morley,3,23 February 2022,no instructions,"no detailed instructions which let it down, small leaflet but very basic, no detailed instructions, what does the M button do? had to search online, otherwise seems fine"
Powell Longjohn,3,22 February 2022,Where you should use it,It is best for indoor(in your room) use.Not loud enough for outside
Jon,1,22 February 2022,No Customer Support,Lenrue and Meguo do not respond to messages.  No after sales support.  Beware.
Mr R.,1,21 February 2022,Terrible Design,Speaker arrived defective and customer service does not respond to any messages.  Buy at own risk as no after sales service.
Alexander Lewis,4,20 February 2022,Stopped working,Sound is great but very disappointed with the product durability.
Mr. T. M. Elner,2,14 February 2022,"Decent shower speaker, good volume, instructions useless","EDIT - 4 stars down to 2. Whenever I use this speaker I get constant cut outs in the sound. This doesn't happen on any of my other BT speakers, only this one. Its annoying to the point that I don't use this if I can help it.I bought this as a shower/bath speaker so just wanted something with some decent volume, good bass and waterproof.Before I review those aspects, my main frustration for ages was the pairing mode and the instructions make no mention of it. Turn the speaker on and by default it is in pairing mode, so you pair your first device. Now, want to add a second one? Well turning on the speaker will auto connect to the first one, so you have to turn the bluetooth off on that one first. While that doesn't sound that bad, consider the fact that you might be about to jump in the shower but someone else used the speaker before you and is in a different room, now you need to go get them to turn off their BT.After pressing numerous buttons however I think I finally figured out that you can re-pair by holding down the play button. Usually it would be a case of holding the power button when turning on.With that out of the way....Volume - very good, loud enough to make my shower shakeBass - Great but will distort. For the price, excellentBattery - Not had to even charge it yet out of the box. Plenty for me (used about 5 hours so far, device reports 40% charge over bluetooth)Waterproof - its survived a couple of showers already, I'll be sure to update the review if that changesOverall I'm happy with this purchase."
Roger D.,1,12 February 2022,AVOID AVOID AVOID THIS ABSOLUTE CRAP 🤬,WHAT A PILE OF CRAP🤬🤬🤬 I AM WORKING AWAY & DIDN'T BRING THE PACKAGING AS WASN'T EXPECTING TO NEED IT!!! IT WORKED FOR A TOTAL OF APPROX 11 HOURS UNTIL SMOKE CAME OUT OF IT AS HAS BURNT OUT INSIDE & STINKS!!! SO LOOKS LIKE I AM STUCK WITH THE CRAP AS AWAY FOR ANOTHER 5 WEEKS.DO NOT BUY DO NOT BUY DO NOT BUY!!!!!🤬🤬🤬
Mathew G,5,10 February 2022,This is a good clear sound,"I brought one of these last year but it was so good, I gave it to my mom who needed one! So when I needed to buy another, I came straight to this. Sound and battery life is good. Bluetooth connection seems to work very well even when you venture off. And you can't go wrong for the price."
tasha,5,10 February 2022,Best earphones ever,"I decided not to written a review until am sure it work properly after a lot of disappointments with other earphones, so I had this one over a year now and is still pafect battery life is amazing."
lynda winrow,5,6 February 2022,Works well,Compact. Great tones
Tony,5,5 February 2022,good,good
Steven,5,4 February 2022,"Amazing waterproof speaker, I cannot believe it’s so cheap!",I dropped this speaker into our hot tub and it did not affect the sound quality at all! I can’t believe that a speaker as cheap as this has such good sound quality!!! The battery life is awesome too. Don’t waste your money on expensive speakers. This one is amazing!
Paul P.,5,4 February 2022,Exalnt value,The sound quality is great and so easy to set up well worth the money
Amazon Customer,5,26 January 2022,Excellent,"Excellent product, I use it with my tablet and the sound is superb. Would definitely recommend 😊"
Emmzy,5,24 January 2022,Loud little speaker,I was pleasantly surprised by the loudness & sound quality of the speaker. It’s small but sounds amazing with the bass & all!
Mark,1,22 January 2022,Bluetooth connectivity stopped after 6 months and customer service didn't reply to emails,Nuff said
Christ O'die,5,21 January 2022,"A little machine with loud, clear and rich bass.","A little machine with loud, clear and rich bass sound. Good for relaxing in the Garden in the Summer."
nodfromaccy,3,21 January 2022,OK Product but Volume Drops as Battery Runs Down,Sound is good and battery life OK. The main issue I have is that the volume drops as the battery runs low and then comes up again some time after it has recharged. I find this really annoying.
Amazon Customer,5,20 January 2022,Great value for money,"I bought this speaker so I could play music outside my house alongside my other decorations over Christmas, I tucked it out of sight and streamed music to it from my iPad. Did the job perfectly had quite a number of curious passers by wondering where the music was coming from :)"
philsalt,5,18 January 2022,Great speaker,"Brilliant clear sound,would definitely recommend and buy again"
Chazzer,5,16 January 2022,Amazing product,Great little speaker volume level is amazing and the price was great too fully recommend
Stephen Mayne,5,15 January 2022,Great outdoor speaker,Brought this speaker to be used outside to provide sound for a Virtual Santa projection effect.I was more than happy with the volume levels and the speaker could be heard on a relatively low to medium volume above street traffic and noise without issue.Sound quality was fine and pleased with the overall quality and build of the speaker.Impressive for the money and suitable for any outdoor occasion.
alan wigley,3,12 January 2022,Not bad,Not bad for the money… sound is ok… however I was comparing to a Bose sound wave
The Sun of David,1,9 January 2022,The Anker is better.,Sound is nice and clear but i wouldn't rate it for bass. The Anker is much better.The bass button doesn't always work when you press it.Overall I think it's hyped up in the description and misleading.Sounds like a radio speaker to me. The primary focus sound wise is on the mid-range and top-range. Overall i would say the Anker is better.
Divya,5,9 January 2022,Amazing sound quality,"Beautiful clear sound, well worth the price"
Michael s.,5,9 January 2022,Sound price,Work
Cazart,5,9 January 2022,So pleased bought a second devil,"Very easy to connect , very good sound for  such a small device , excellent value for money"
Jodie Hardy,5,8 January 2022,Great for the money,Brought for my teenage son for Christmas and it’s great. And very loud
G. L. Jones,5,7 January 2022,great,my brother loves it he took it with him to Moldova to do some charity work he says it's a great piece of kit worth the money
Ayshab2,5,7 January 2022,Great,Easy to use and loud too. The size is perfect too
Deeq Mohamood,5,6 January 2022,Speaker,Very happy customer thanks
lynne Randazzo,5,6 January 2022,very happy,Bought this for my husband to replace a less powerful one very happy
Daithi,2,6 January 2022,Disappointed,Was a great speaker for the length of time it lasted ( a few months). Thankfully was bought a better speaker so it was thrown in the bin :)
Mr R Guyton,5,6 January 2022,"Great speaker, great gift!","Great speaker, great gift for my teenage son to listen to whilst in the shower. Battery last forever and sound quality is very good."
Gill,5,6 January 2022,The sound of music,"Small but sound quality is good. Someone liked mine, so I gave them one as a Christmas present."
Martin Oliver,5,3 January 2022,"Good Sound, Easy to set up","Easy to set up - even for the technologically challenged! Sound is good , especially for the price."
popadog,3,3 January 2022,A good unit -- when sold at half-price in sale!,"A good overall sound when I got it paired and working. No instructions included so had to contact Amazon for guidance. They were very helpful. Without Amazon's good customer service intervention, it would have been returned for refund. Buttons on top are big -- that's good, but printed black-on-black so they're almost impossible to see -- had to shine a torch light on it to see the buttons. Slick rubbery design -- but don't believe the video because it's over-hyped. A good unit -- when sold at half-price in sale!"
s. vipond,5,2 January 2022,Brilliant buy for the money.,"Excellent sound,loud and durable, roll on summer 👌"
Debbie  Hayward,5,30 December 2021,Crimbo pressie,Son is over the moon with all. Meets expectations
Loretta Putnoki,5,29 December 2021,My boyfriend loves it,i bought this for my boyfriend and he absolutely lives it he carries it everywhere in the house with himself. Good quality for price.
Martin William Morrisey,5,29 December 2021,Good little speaker.,"A lovely, value for money speaker."
Keesha,5,29 December 2021,So Happy!,I have only had this speaker 2 weeks but so far so good. I love the quality of sound and the design. Had a 3hr party by myself...I just wanted to hear all my music and dance. This was a great purchase.
kinny147,5,29 December 2021,Speaker,"It works just how it should, what more can one ask"
ted,5,28 December 2021,All good,Tried it as soon as it came. Good product will definitely serve its purpose 👌
colin hewitt,5,28 December 2021,Brilliant,Bought this for a present and was really pleased when it was working on the item itself..compacted and really tidy and the sound quality is good and the volume great.
sunny,5,28 December 2021,Value for money,For the price I found it to be of great value. The sound is good quality even when in full volume and pretty loud too. I would recommend this to anyone thinking of getting a value for money bluetooth speaker
Justin McMorrow,5,28 December 2021,Great sound for such a little speaker,The sound is good and clear with long battery life.
beverley yates,5,28 December 2021,Works great,Good product
Jan,5,28 December 2021,Fantastic.,As I am hard of hearing it was so very nice when I bought this and started using it. It is so very clear and the battery lasts a long time. I  am so very glad I bought it.
Kev,5,26 December 2021,Great speaker,Compact. Good sound quality
Vanessa Johnson,4,25 December 2021,Nice Sound,It sounds great & the battery life is great however the button would have been better if they were a different colour as there not that easy 2 see
ata,1,25 December 2021,Better off buying a brand,Quality and battery are awful
Mr. J. Marshall,5,23 December 2021,Amazing quality,I am still impressed with both the volume and quality of sound and I've been using it for a few months now
Milen,5,23 December 2021,Quality product.,Thanks so much !
Miranda,5,19 December 2021,Really good,Good powerful sound and long battery life.
Deborah W.,5,14 December 2021,Good sound,Great speaker excellent sound quality for the size brought as a gift for my teenage son and he's more than happy.
Kimberley B.,5,12 December 2021,Great buy,I wanted a speaker for Christmas Day to play tunes off my phone in the kitchen whilst we all try to chip in and help dad. Brilliant speaker. Loads more depth of sound and volume than expected. So pleased with it. Using it much more than what I anticipated it for!
Lynn and Kim,5,7 December 2021,Lovely sound,I use it overnight to listen to audio books. Need to charge every day but that's not a problem. Love it and almost never use my radio anymore!
Kate Laver,5,7 December 2021,Excellent speaker,Good sound quality and can use anywhere in 3 storey town house.
Demi Mcculloch,5,7 December 2021,Worth the money,Good quality sound and has a good bass to it no crackling sound off it and looks good can’t fault it. It’s also very light to carry.
Tom,5,6 December 2021,Amazinggg !!,Amazing For the price it’s so loud and the sound quality is amazing very happy with my order.
Rahul Sen,5,6 December 2021,Amazing battery life,Bought this a few weeks ago. amazing battery life; have not charged it yet and have played it for at least 10-12 hours since purchase. Great sound too.
Mozart,2,6 December 2021,"Speaker is too ""SMART""","Support will ignore you.Sound and build quality is good, but there is big BUT.Speaker have a smart system of preserving energy by turning off sound in ""quite enough moments that its safe to say nothing is playing"" like ambient sound, or pauses between dialogs. Problem is that you can hear white noise when speakers is active and you can hear those cuts really well, really annoying and disappointed that speaker is not dumb enough to just play a sound when i press play."
Michael,4,5 December 2021,Strong robust,Music and movies on the move. One question if I buy another can they be linked together?
DH,5,5 December 2021,Good speaker,Son uses it when playing football with his mates impressed
Karli,5,5 December 2021,Worth every penny!,"Just got my speaker delivered, paired straight away. Very loud which is great and doesn't crackle on highest volume! Well worth the money!"
Amazon Customer,5,4 December 2021,Great quality reasonable price,Arrived on time
arya,5,2 December 2021,Fab speaker,"I use this in my salon. Battery lasts a good while, works well and happy with this buy! Recommend!"
EDDYKEMAL,5,2 December 2021,Turn up the base,Great sound and plenty warning to recharge
Amazon Customer,5,1 December 2021,Great value,Working in factor this was perfect its loud enough to be heard and the sound quality is good.It gets used for 8 hours nearly a day and only needs little top up on the battery
Pam,5,30 November 2021,Good Quality,I use for my therapy room for  relaxing music. Very happy with it.
MR,5,26 November 2021,Superb bit of kit,Have used this connected (via Bluetooth) to my PC and Alexa and the connection is easy and the sound superb and the battery life just seems to go on and on.  Highly recommend.
Mr Richard Hulse,5,26 November 2021,An impressive piece of kit. Most excellent!,"Surprisingly good quality sound, even at the highest volume. I got this for listening to music in the garden or the bathroom.The Bluetooth link to my phone was very easy to set-up and the sound is crystal clear.Can't fault it for the price! Happy to recommend it!"
Sheridan,5,25 November 2021,Brilliant little speaker,"I love this speaker it has great sound, and is a great wee size...perfet!"
Todd,3,22 November 2021,Is only working not BT,Bluetooth not pairing my device keeps saying cudnt connect all of my other devices are great  but only the aux works for this one try the reset as well still having the same problem what to do ???....
Liam C,1,20 November 2021,Buy Anker instead,This is the worst speaker I’ve ever bought. Even worse than the 10 pound one I bought in Poundland.The battery life is awful. I have an Anker Soundcore that’s like 4 years old and had daily use in that time and it’s far and away better than this piece of junk. I started a return on this but accidentally dropped it and it has a big dent in it. Not sturdy at all and already has rust on it. Whatever you do do not buy this. The sound is crap. I get more volume out of sticking my phone speaker under a toilet roll. The bass option is useless as it lowers the sound by 10 fold. Avoid like the plague!
Mr A.,5,15 November 2021,Excellent,"We took this on holiday, my husband is a bit of a tech snob, so wasn’t expecting a good sound.. but boy was he surprised, he has raved about it to all that would listen! Really good sound, great battery life"
A. Findley,5,15 November 2021,Excellent value speaker,Very impressed with this little speaker. Used with my laptop for room filling sound of my music.Would recommend - only poor and unnecessary feature is the bass enhancement button which just makes the sound muddy and spoils the clarity. Better without it.
Kieran T,5,14 November 2021,Very impressed!,This is an awesome speaker! When looking for a new speaker I saw the high level reviews and ratings which persuaded me to give it a go! Seriously good sound quality and it plays mega loud whilst retaining the sound quality! I've actually bought a second one just becuase I was so impressed with the first!
Darrell  lennon,5,13 November 2021,Great product,Second one I’ve brought got my son one a year ago he loved it and just brought my sister the same thing as so good
Matt,5,13 November 2021,Perfect for the bathroom!,"I wanted a bluetooth speaker so I could listen to some podcasts while in the shower/bathroom. This speaker is great for that with good audio level, clear audio and waterproof rating. I've been using it everyday for around 30 minute and a single charge has lasted over 20 days so far so battery life also seems good."
Dominic Milne,5,11 November 2021,Very good. Works well,Recommend
Angela S McGivern,5,11 November 2021,Excellent purchase,Sound quality is excellent very pleased with purchase
J,5,3 November 2021,Impressed!,"I’m quite awkward when it comes to speakers and headphones, I like rich sounds but without having to pay the premium for someone’s marketing team!I always try and look at lesser known ‘named’ brands and products. Some have been cheap and you get what you pay for. Often ‘tinny’ or bass distorts the sound.Glad to say with this product I have found the sound to be spot on. Clear, rich and great volume (controlled by my phone) with a brilliant battery life (so far). I have been using mine in the bathroom for a shower disco haha and it out performs previous waterproof speakers.For the price it’s decent and a solid 5/5"
Alexander Rae,5,28 October 2021,Great bit of kit.,"Great bit of kit, use it in a tractor ( at the moment) as the radio's not working, have it on most of the day, small to carry about the house if needed."
Dale lane,4,26 October 2021,Fab system,"Great item for its price, very easy to set up sleak and compact, could do with being a little louder."
Mike Shanley,4,22 October 2021,Good Bluetooth Speaker,"Second speaker fine, faulty first speaker and the seller would not get back in touch. Ended up going through Amazon returning the faulty unit for a refund. Quiet pleased with the speaker so reordered another one but had to pay more as the price had increased. The increase was not a lot but was more a matter of principle as the speaker was still under warranty. Amazon refused to replace at the same price."
michelle barlow,5,21 October 2021,Great product  good value,"Great product  , great sound and easy to use"
Mr G P Bosworth,2,18 October 2021,Very poor for handsfree,I bought this as a speaker to boost the phone sound. To be honest it is very poor indeed. After several calls it is not much louder than my phone speaker.  This is not recommended for a hands-free unit
Leah,5,17 October 2021,Great value and sound,"Much better than I expected.  Great sound, great battery.  Really impressed."
mercyfh,2,16 October 2021,Poor sound quality,The sound quality
Serena,5,15 October 2021,Small and mighty,"Small, compact, sturdy, good sound, good battery life"
Moheen,5,12 October 2021,Perfect,"Great bluetooth speaker with excellent sound, so easy to operate Great value for money"
Kevin Eastwood,5,12 October 2021,Excellent sound quality.,"Brilliant sound quality, base and treble, no distortion at full volume, highly recommended."
ArturoB,3,10 October 2021,Poor bluetooth reception,"I was impressed when I received it. Sound quality seemed good. Main problem during this month, though, is the poor bluetooth connection. Anything makes interferences and produces cracking or disconnection (putting my phone on my pocket or in my hand, having a shower...), which doesn't happen with any of my other bluetooth devices.This morning (after a month of use) now it sounds like it has lost some frequencies especially when playing clips with voice only."
Amazon Customer,4,7 October 2021,Great little speaker,For £30 this is a great little speaker. Feels well made and solid. Sound quality is very good with decent bass middle and treble. It's Bass boost mode seems to mute other frequencies a little but still sounds good. Connects easily through Bluetooth with a long range. Can't comment on battery life cos only had ot a day but overall impressed so far.
Michael Henry,5,6 October 2021,Loud and clear,"The sound quality is great, easy to pair up."
Ryan,4,4 October 2021,Not bad,"For the price, this is really good. If you're expecting something bassy with plenty of boom, this isn't it. I bought it for my car as my stereo system is something out of the Antiques Roadshow and it's perfectly fine for that. There a bit of a hiss when volume is maxed and it's a bassy tune but for the most part it's okay. Will be looking for an upgrade at some point. Not bad for the dolla"
MickyB,5,4 October 2021,"Love it, much loader than my previous one",Sound quality good
Jason,5,3 October 2021,Great speaker for price.,Great for camping and is water proof too.
Kindle Customer Catherine Bouchier,5,1 October 2021,"Brilliant sound, well made up",Am using this for my laptop
cyppysandy,5,1 October 2021,Even better than I expected,For this price I wasn’t sure how the sound quality was going to be. The sound is amazing and it can be quite loud as well
M A CANN,5,1 October 2021,Nice sound for the price,Nice little speaker for working from home and needing music 🙂
Tee,5,30 September 2021,Very loud and clear,Very good for use in the house I don’t really use it outside
Mrs A.,5,28 September 2021,"Great sound, easy to use","Good quality sound, easy to use and reasonably priced....very happy with this speaker"
DIYDave,5,28 September 2021,Excellent speaker for the Garden,We use this in the garden when sitting in our pergola. The speaker is connected via bluetooth to an Alexa speaker and works great at approx 15 metres.
RD,3,28 September 2021,Ok for the price,Sonos this is not!Ok speaker for the price but don’t let your expectations get the better of you. Full volume a little disappointing for a speaker to be used outdoors.
Piergaetano I.,5,26 September 2021,Good and steady product,"Easy to pair, very solid and good (buy not amazing) sound quality. More than enough in my shower"
bluebrian,5,25 September 2021,Happy Customer,"Excellent piece of a equipment,one very happy customer 👍"
Amazon Customer,3,21 September 2021,Faulty item but speedy return process,Unfortunately I think mine was faulty but the return service was fast and efficient! The product lost connection and the sound quality was poor.
louise,5,21 September 2021,Bass,"It's got amazing sound quality for a portable speaker, great bass, good value for money"
haroon,5,18 September 2021,Perfect.,Perfect & no problem.
Paul Byrne,5,15 September 2021,Good quality. Not as loud as o thought it would be,Good sound but not as loud as I thought it would be
Sam,5,14 September 2021,Brilliant,"I use this every day at work, battery life if brilliant, also long range signal, really good value for money, was going to buying a site radio but instead I use this and haven’t looked back"
Kindle Customer,5,14 September 2021,Great lil speaker,"Great lil speaker excellent sound quality, very surprised with this product great price"
Tracie Kelly,5,13 September 2021,Great speaker easy to pair up with other gadgets,Great speaker for use in my garden
Mr Clive Everitt,4,13 September 2021,Access to music from my phone with decent sound quality,Only had it a short while so asking about battery life at this stage is a bit premature but so far so good. Easy to set up and good sound quality and range
Amazon Customer,1,11 September 2021,Replacement that was worse than the first one I bought. Don’t waste your money on this.,"I bought this product and the second time I used it, it broke. It would turn on but wouldn’t play any music. I spoke to the seller and the sent a replacement, which plays music but after 19 mins it makes a piercing screeching sound then doesn’t work. So basically you will have decent sound for a total of 19 mins after each 8 hour charge. I honestly wouldn’t buy this product or waste your money."
Saurabh Singh,3,8 September 2021,Bass flat,Bass not good. Sounded flat. Otherwise ok.
Amazon Customer,5,3 September 2021,amazing speaker,LOVE IT!
Robert A Little,4,3 September 2021,Needs some older spickers,All ok just 30 watt speakers
Mandip Nayee,5,31 August 2021,Cracking speaker A+,Used for a partyEasy connectLoud speaker with a bit of base£27 you cannot go wrong!
Cameron Watson,5,28 August 2021,Wow,"I'm genuinely surprised with this, it is very impressive for the price. Just buy it"
Sonya Huxley,5,26 August 2021,"Brilliant little speaker, so easy to use and link to Bluetooth too",The sound quality on this little speaker is brilliant! Very loud when turned up to the top. Battery life lasts a long time too.
AliB,5,24 August 2021,Good!,"Good value, does what I require of it, arrived promptly and well packaged."
George Cowell.,5,24 August 2021,Import the noise it works well,Music
jane barnes,5,22 August 2021,Great.,Great
Dragos Mihaila,1,21 August 2021,Not recommended,Really bad sound.Small battery.Not recommended.Try other companies 🙏🏻
Panos,5,21 August 2021,"Great sound, terrible battery duration","Great sound, rich bass, good looking speaker. Terrible battery duration. I have Anker Soundcore and I charge it every couple of weeks or so. This one needs charging every 3-4 days."
Sue Sparks,5,18 August 2021,Brilliam,Does what it says easy to set up and doh do good
Gavin,5,18 August 2021,Brilliant,"Great piece of kit, fantastic sound and battery life, doesn’t have the embarrassing “de Bluetooth device has connected ugh successfully” either so saves getting scolded, all round good speaker"
Amazon Customer,5,17 August 2021,Fantastic speaker,"Great battery life, connects seamlessly and sound is fab, I use this all the time now whether I'm working in the garden, garage or indoors."
peter foster,5,13 August 2021,Does exactly what it says for a good prjce,Goid sound quality with little distortion. Value for money.
tammy,5,12 August 2021,So happy with my Bluetooth speaker load enough to hear while I’m driving in my work van,
Zena Foster,4,11 August 2021,Exactly what I was looking for.,"I bought this to replace a broken one I bought 5 years ago, I thought the sound quality was good on that one till I started to use this. It's exactly what I was looking for and more."
Greig Thomas,5,10 August 2021,Great looking and sound.,This does have a great sound even at high volumes. Battery life is good. Only down side I've found is the hands free feature isn't loud enough to have a conversation.
Big Mac,5,9 August 2021,bloody brilliant,"great sound made the whole experience of listening to the Olympics assume, really great value for money"
Amazon Customer,5,8 August 2021,Very good,"I'm not a sound expert, just really needed a speaker to listen to my Spotify list instead of the phone speaker or headphones. It's great, has clear sound, battery lasts forever and you can here it all around the house.ah, it's loud, the volume is always on the minimum :)"
Amazon Customer,5,8 August 2021,Great product,"Brought this for when we’re out about,It’s a great little speaker"
